Dispatch_Date,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Fraud,Motor Vehicle Theft,Narcotic / Drug Law Violations,Other Assaults,Other Sex Offenses (Not Commercialized),Rape,Recovered Stolen Motor Vehicle,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vandalism/Criminal Mischief,Weapon Violations
2006-05-02,5.0,11.0,60.0,3.0,18.0,2.0,4.0,11.0,3.0,18.0,32.0,2.0,,17.0,6.0,7.0,25.0,31.0,28.0,5.0
2006-05-03,10.0,13.0,39.0,6.0,7.0,3.0,4.0,15.0,8.0,17.0,40.0,4.0,1.0,12.0,6.0,8.0,12.0,25.0,33.0,5.0
2006-05-04,2.0,9.0,47.0,1.0,15.0,4.0,6.0,17.0,6.0,20.0,30.0,2.0,2.0,14.0,2.0,6.0,20.0,29.0,31.0,2.0
2006-05-05,6.0,12.0,31.0,3.0,14.0,2.0,7.0,14.0,4.0,11.0,38.0,,1.0,11.0,5.0,7.0,23.0,25.0,27.0,3.0
2006-05-06,5.0,12.0,38.0,2.0,12.0,8.0,2.0,8.0,10.0,12.0,23.0,2.0,2.0,11.0,3.0,5.0,12.0,22.0,22.0,5.0
2006-05-07,5.0,9.0,53.0,,2.0,9.0,2.0,3.0,5.0,11.0,31.0,2.0,1.0,4.0,5.0,2.0,17.0,14.0,24.0,4.0
2006-05-08,5.0,7.0,41.0,7.0,11.0,6.0,3.0,16.0,20.0,14.0,33.0,3.0,1.0,10.0,4.0,3.0,26.0,25.0,26.0,2.0
2006-05-09,4.0,7.0,60.0,2.0,10.0,2.0,6.0,13.0,12.0,28.0,39.0,2.0,,15.0,3.0,9.0,24.0,25.0,35.0,5.0
2006-05-10,9.0,7.0,47.0,3.0,11.0,3.0,,13.0,8.0,16.0,32.0,2.0,1.0,12.0,4.0,12.0,21.0,34.0,31.0,3.0
2006-05-11,3.0,6.0,64.0,2.0,15.0,4.0,3.0,16.0,8.0,12.0,34.0,3.0,1.0,14.0,9.0,8.0,14.0,32.0,23.0,6.0
2006-05-12,7.0,5.0,36.0,3.0,7.0,4.0,10.0,18.0,6.0,15.0,42.0,3.0,2.0,16.0,7.0,6.0,23.0,20.0,31.0,1.0
2006-05-13,7.0,11.0,54.0,1.0,6.0,6.0,3.0,10.0,7.0,8.0,24.0,1.0,,6.0,6.0,8.0,13.0,17.0,29.0,2.0
2006-05-14,1.0,10.0,46.0,2.0,10.0,8.0,3.0,4.0,4.0,12.0,17.0,1.0,2.0,14.0,8.0,5.0,19.0,15.0,24.0,1.0
2006-05-15,1.0,7.0,46.0,1.0,12.0,3.0,1.0,13.0,6.0,16.0,29.0,1.0,3.0,11.0,6.0,1.0,12.0,24.0,24.0,3.0
2006-05-16,3.0,7.0,49.0,5.0,5.0,1.0,10.0,15.0,11.0,7.0,21.0,3.0,,10.0,11.0,5.0,28.0,20.0,31.0,6.0
2006-05-17,7.0,6.0,56.0,1.0,14.0,4.0,6.0,15.0,9.0,15.0,36.0,5.0,,18.0,5.0,5.0,18.0,32.0,31.0,5.0
2006-05-18,7.0,8.0,42.0,2.0,12.0,4.0,7.0,14.0,12.0,15.0,27.0,3.0,,14.0,4.0,3.0,26.0,30.0,24.0,4.0
2006-05-19,4.0,10.0,40.0,4.0,12.0,3.0,5.0,6.0,9.0,17.0,31.0,3.0,,11.0,5.0,2.0,27.0,22.0,23.0,4.0
2006-05-20,4.0,3.0,49.0,5.0,14.0,6.0,7.0,7.0,8.0,15.0,35.0,1.0,1.0,9.0,5.0,2.0,14.0,21.0,37.0,1.0
2006-05-21,8.0,11.0,83.0,5.0,12.0,7.0,3.0,4.0,8.0,9.0,26.0,,,10.0,4.0,6.0,21.0,17.0,58.0,1.0
2006-05-22,6.0,15.0,70.0,9.0,8.0,6.0,8.0,13.0,7.0,19.0,30.0,4.0,1.0,12.0,4.0,12.0,22.0,35.0,39.0,2.0
2006-05-23,1.0,13.0,60.0,4.0,8.0,7.0,9.0,16.0,11.0,14.0,29.0,,1.0,17.0,6.0,3.0,25.0,26.0,28.0,5.0
2006-05-24,6.0,12.0,76.0,7.0,9.0,2.0,6.0,15.0,4.0,18.0,29.0,2.0,3.0,18.0,4.0,5.0,20.0,26.0,37.0,6.0
2006-05-25,10.0,5.0,50.0,,9.0,3.0,5.0,9.0,10.0,8.0,32.0,,4.0,8.0,7.0,9.0,21.0,28.0,30.0,2.0
2006-05-26,5.0,10.0,35.0,2.0,15.0,3.0,8.0,14.0,8.0,14.0,24.0,5.0,2.0,8.0,6.0,7.0,21.0,23.0,44.0,1.0
2006-05-27,11.0,10.0,48.0,1.0,7.0,10.0,4.0,6.0,4.0,10.0,22.0,2.0,1.0,7.0,4.0,9.0,18.0,30.0,29.0,3.0
2006-05-28,12.0,16.0,53.0,2.0,11.0,6.0,4.0,6.0,7.0,6.0,31.0,1.0,4.0,15.0,6.0,8.0,23.0,22.0,46.0,2.0
