Dispatch_Date,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Fraud,Motor Vehicle Theft,Narcotic / Drug Law Violations,Other Assaults,Other Sex Offenses (Not Commercialized),Recovered Stolen Motor Vehicle,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vagrancy/Loitering,Vandalism/Criminal Mischief,Weapon Violations
2006-05-24,1.0,5.0,52.0,2.0,6.0,3.0,2.0,8.0,5.0,8.0,10.0,1.0,11.0,4.0,3.0,14.0,22.0,1.0,25.0,1.0
2006-05-25,2.0,2.0,30.0,1.0,1.0,3.0,2.0,6.0,3.0,5.0,22.0,,4.0,6.0,5.0,12.0,24.0,4.0,15.0,1.0
2006-05-26,4.0,4.0,15.0,3.0,7.0,2.0,8.0,8.0,3.0,4.0,11.0,1.0,5.0,2.0,6.0,14.0,20.0,1.0,26.0,
2006-05-27,3.0,4.0,40.0,,4.0,5.0,5.0,5.0,2.0,5.0,10.0,,2.0,2.0,3.0,9.0,27.0,3.0,17.0,2.0
2006-05-28,3.0,4.0,38.0,1.0,5.0,4.0,3.0,3.0,10.0,3.0,23.0,1.0,7.0,2.0,3.0,19.0,19.0,,22.0,
2006-05-29,7.0,4.0,36.0,,7.0,4.0,4.0,1.0,4.0,5.0,25.0,2.0,7.0,4.0,4.0,13.0,10.0,,10.0,1.0
2006-05-30,2.0,2.0,14.0,3.0,3.0,2.0,,6.0,4.0,10.0,19.0,,5.0,3.0,3.0,14.0,25.0,2.0,21.0,3.0
2006-05-31,1.0,8.0,30.0,2.0,7.0,2.0,,8.0,2.0,6.0,20.0,2.0,3.0,4.0,4.0,11.0,22.0,,12.0,2.0
2006-06-01,1.0,3.0,8.0,1.0,4.0,2.0,,5.0,3.0,8.0,4.0,1.0,4.0,4.0,5.0,9.0,12.0,1.0,12.0,
2006-06-02,4.0,4.0,16.0,4.0,5.0,1.0,1.0,6.0,6.0,10.0,11.0,,6.0,3.0,7.0,14.0,26.0,2.0,13.0,3.0
2006-06-03,3.0,5.0,29.0,3.0,3.0,6.0,2.0,5.0,9.0,5.0,19.0,2.0,8.0,3.0,5.0,12.0,25.0,1.0,16.0,
2006-06-04,3.0,6.0,85.0,1.0,1.0,5.0,9.0,1.0,4.0,7.0,18.0,1.0,7.0,3.0,8.0,16.0,15.0,,17.0,4.0
